country,inflation_effet,inflation_effet_direct,inflation_effet_indirect,inflation_gap_revenu_effet,inflation_gap_revenu_effet_direct,inflation_gap_revenu_effet_indirect,inflation_gap_age_effet,inflation_gap_age_effet_direct,inflation_gap_age_effet_indirect,inflation_gap_area_effet,inflation_gap_area_effet_direct,inflation_gap_area_effet_indirect
DE,2,0.6,1.4,-0.3,0,-0.3,0.3,0.1,0.1,0.2,0.1,0.2
FR,1.5,0.5,1,-0.2,0,-0.2,0.2,0.1,0.1,0.1,0,0.1
IT,1.7,0.3,1.5,0.1,0,0.1,0.3,0.1,0.2,0.1,0,0.1
ES,1.4,0.3,1.1,0,0,0,0,0,0,0.1,0,0.1
NL,1.1,0.3,0.8,-0.2,-0.1,-0.2,0.1,0,0.1,0.1,0,0.1
BE,1.4,0.2,1.3,-0.4,0,-0.3,0.1,0,0.1,0.2,0,0.2
EA20,1.7,0.4,1.2,-0.2,0,-0.2,0.2,0.1,0.1,0.2,0,0.1
