category,coicop_div,share,year
Q1,01,0.1886763975453,2015
Q1,02,0.0197637504674322,2015
Q1,03,0.0468748352488395,2015
Q1,05,0.0338786885178169,2015
Q1,06,0.0291835212739348,2015
Q1,07,0.114090188094827,2015
Q1,08,0.0401837265709727,2015
Q1,09,0.0417154409651281,2015
Q1,10,0.00423677556853617,2015
Q1,11,0.0540379266179351,2015
Q1,12,0.0285149181969299,2015
Q1,04,0.398843830932347,2015
Q2,01,0.18764369351741,2015
Q2,02,0.017715357463442,2015
Q2,03,0.0485270174046145,2015
Q2,05,0.0401590390892435,2015
Q2,06,0.0377225481839022,2015
Q2,07,0.114591273460998,2015
Q2,08,0.0368543566358935,2015
Q2,09,0.0409854192003856,2015
Q2,10,0.00496822713248685,2015
Q2,11,0.0528530962111065,2015
Q2,12,0.0292783761329696,2015
Q2,04,0.388701595567548,2015
Q3,01,0.194368872804405,2015
Q3,02,0.018717879096001,2015
Q3,03,0.045024957187705,2015
Q3,05,0.048680589601794,2015
Q3,06,0.0406526988208702,2015
Q3,07,0.106101762111305,2015
Q3,08,0.0360079094799002,2015
Q3,09,0.0433826919988144,2015
Q3,10,0.00667267240635157,2015
Q3,11,0.0513731276038051,2015
Q3,12,0.0285968954656635,2015
Q3,04,0.380419943423385,2015
Q4,01,0.182907453110315,2015
Q4,02,0.0161167287740843,2015
Q4,03,0.0439940076307616,2015
Q4,05,0.041052740022656,2015
Q4,06,0.0505751581508136,2015
Q4,07,0.119086005226416,2015
Q4,08,0.0333011858500912,2015
Q4,09,0.0419402528532741,2015
Q4,10,0.00783186953833267,2015
Q4,11,0.0482149367944688,2015
Q4,12,0.0277357484170368,2015
Q4,04,0.38724391363175,2015
Q5,01,0.175555562046672,2015
Q5,02,0.0159815993975962,2015
Q5,03,0.0496996674522404,2015
Q5,05,0.0443353841557517,2015
Q5,06,0.05441940665786,2015
Q5,07,0.117344186000279,2015
Q5,08,0.0319905508892967,2015
Q5,09,0.0404317101759757,2015
Q5,10,0.00756283913636458,2015
Q5,11,0.0488493052484356,2015
Q5,12,0.0281388635565245,2015
Q5,04,0.385690925283003,2015
Q1,01,0.504825714102436,2020
Q1,02,0.0183229475220516,2020
Q1,03,0.239874846751315,2020
Q1,05,0.0254744919079825,2020
Q1,06,0.067466745561306,2020
Q1,07,0.0148961846671828,2020
Q1,08,0.0207739999369756,2020
Q1,09,0.00227533358380476,2020
Q1,10,0.0242266790590975,2020
Q1,11,0.0161853944010089,2020
Q1,12,0.0288461258690251,2020
Q1,04,0.0368315366378141,2020
Q2,01,0.505665562777263,2020
Q2,02,0.0203638906868103,2020
Q2,03,0.245525839239205,2020
Q2,05,0.025731438398126,2020
Q2,06,0.0679052295836661,2020
Q2,07,0.0171669303300742,2020
Q2,08,0.0214769649355717,2020
Q2,09,0.00276605044609487,2020
Q2,10,0.026533017810441,2020
Q2,11,0.0154420397908228,2020
Q2,12,0.027755505396523,2020
Q2,04,0.023667530605402,2020
Q3,01,0.506456522340555,2020
Q3,02,0.0221027540348149,2020
Q3,03,0.238322955628318,2020
Q3,05,0.026606117212071,2020
Q3,06,0.0677396713702303,2020
Q3,07,0.0185001682897548,2020
Q3,08,0.0200381099762295,2020
Q3,09,0.00397334219506875,2020
Q3,10,0.0262738222589823,2020
Q3,11,0.016072574718014,2020
Q3,12,0.0290158215720653,2020
Q3,04,0.0248981404038964,2020
Q4,01,0.506089098247149,2020
Q4,02,0.0231491981950689,2020
Q4,03,0.251686779603235,2020
Q4,05,0.0258387214821431,2020
Q4,06,0.0556717183763307,2020
Q4,07,0.0198332240554232,2020
Q4,08,0.0188573865388693,2020
Q4,09,0.00661650687810606,2020
Q4,10,0.0233211101815819,2020
Q4,11,0.0159738835879163,2020
Q4,12,0.0289260455411443,2020
Q4,04,0.024036327313032,2020
Q5,01,0.507014492714548,2020
Q5,02,0.0241882824376292,2020
Q5,03,0.271730384748606,2020
Q5,05,0.0266769140693841,2020
Q5,06,0.0450298049848762,2020
Q5,07,0.0207496529318237,2020
Q5,08,0.0172383419011067,2020
Q5,09,0.00615690049581497,2020
Q5,10,0.0166236570316189,2020
Q5,11,0.0152894385764959,2020
Q5,12,0.0277893660882922,2020
Q5,04,0.0215127640198042,2020
