year,category,total_consumption
2015,First quintile,2752.8108269861
2015,Second quintile,2825.81940890719
2015,Third quintile,2868.91503614009
2015,Fourth quintile,2918.16303021694
2015,Fifth quintile,2951.21244476056
2020,First quintile,2825.35000965756
2020,Second quintile,2836.82268468522
2020,Third quintile,2881.57855585968
2020,Fourth quintile,2893.55200798839
2020,Fifth quintile,2870.42178581469
