year,feature,beta,std_error,p_value,loss
2015,(Intercept),0,,,0.000396565966320085
2015,consumption_level,0.23302162500357,,,0.000396565966320085
2015,age_ref,0.0450019961687311,,,0.000396565966320085
2015,education,0.15494828948488,,,0.000396565966320085
2015,employment,0.0313323682324385,,,0.000396565966320085
2015,professional,0.0849426408324914,,,0.000396565966320085
2015,tenure,0.108011629948563,,,0.000396565966320085
2015,surface_pp,0.147957184291911,,,0.000396565966320085
2015,econ_resources,0.0873630863170019,,,0.000396565966320085
2015,econ_situation,0.111221715559875,,,0.000396565966320085
2015,poverty,0.087456755317916,,,0.000396565966320085
2020,(Intercept),0,,,0.000586754326580871
2020,consumption_level,0.159843886741029,,,0.000586754326580871
2020,age_ref,0.135313616024535,,,0.000586754326580871
2020,education,0.150498643096526,,,0.000586754326580871
2020,employment,0.134609333432315,,,0.000586754326580871
2020,professional,0.139232195209607,,,0.000586754326580871
2020,tenure,0.145336235295231,,,0.000586754326580871
2020,surface_pp,0.144797807944173,,,0.000586754326580871
2020,econ_resources,0.138549438520231,,,0.000586754326580871
2020,econ_situation,0.1410262146616,,,0.000586754326580871
2020,poverty,0.138303050397425,,,0.000586754326580871
