weight_year,coicop,product_label,category,weight_eurostat_hbs,weight_insee_bdf,diff_insee_minus_eurostat,abs_diff
2022,021,Alcoholic beverages,First quintile,2.11944556091882,,,
2022,022,Alcohol production services,First quintile,1.82382699420581e-07,,,
2022,023,Tobacco,First quintile,2.51323359801561e-06,,,
2022,06,Health,First quintile,4.42141754675506,,,
2022,061,Medicines and health products,First quintile,,1.94808649858927,,
2022,062,Outpatient care services,First quintile,,1.98894857248691,,
2022,063,Inpatient care services,First quintile,,0.143490992508786,,
2022,064,Other health services,First quintile,,0.213694174287883,,
2022,07,Transport,First quintile,12.8248198183472,,,
2022,071,Purchase of vehicles,First quintile,,2.32178218734268,,
2022,072,Operation of personal transport equipment,First quintile,,10.6567881885422,,
2022,073,Passenger transport services,First quintile,,2.42732534564773,,
2022,074,Transport services for goods,First quintile,,0.172008664615778,,
2022,10,Education services,First quintile,,0.771330902153298,,
2022,101,Early childhood and primary education,First quintile,5.1542936792773e-08,,,
2022,102,Secondary education,First quintile,1.59783104057596e-07,,,
2022,103,Post-secondary non-tertiary education,First quintile,1.03085873585546e-13,,,
2022,104,Tertiary education,First quintile,0.228850639359912,,,
2022,105,Education not defined by level,First quintile,0.0237097509246756,,,
2022,12,Insurance and financial services,First quintile,,3.83931460731144,,
2022,121,Insurance,First quintile,3.30766348975027,,,
2022,122,Financial services,First quintile,5.28830531493851e-07,,,
2022,041,Actual rental payments made for housing,Fourth quintile,5.31685462037709,6.68992393410328,1.37306931372618,1.37306931372618
2022,045,"Electricity, gas and other fuels",Fourth quintile,6.86750720984826,6.48520035912073,-0.382306850727526,0.382306850727526
2022,111,Food and beverage serving services,Fourth quintile,6.55445136150128,6.2610110415751,-0.293440319926175,0.293440319926175
2022,083,Information and communication services,Fourth quintile,3.38771352739075,3.13397930654298,-0.253734220847775,0.253734220847775
2022,054,"Glassware, tableware and household utensils",Fourth quintile,0.916228076800478,1.1230228047835,0.206794727983026,0.206794727983026
2022,031,Clothing,Fourth quintile,3.42732959249807,3.2310977118025,-0.196231880695568,0.196231880695568
2022,081,Information and communication equipment,Fourth quintile,1.51189000266084,1.37170363948671,-0.140186363174133,0.140186363174133
2022,09,"Recreation, sport and culture",Fourth quintile,7.24248606098383,7.34047064676782,0.0979845857839932,0.0979845857839932
2022,051,"Furniture, furnishings, and loose carpets",Fourth quintile,2.0711756277053,2.16093155478113,0.0897559270758328,0.0897559270758328
2022,053,Household appliances,Fourth quintile,1.29704247596693,1.2075052471821,-0.0895372287848268,0.0895372287848268
2022,055,Tools and equipment for house and garden,Fourth quintile,0.743115859524812,0.803647671175853,0.0605318116510415,0.0605318116510415
2022,032,Footwear,Fourth quintile,0.996937994235756,0.939879714157762,-0.0570582800779936,0.0570582800779936
2022,056,Goods and services for routine household maintenance,Fourth quintile,1.04837635710824,0.992960137646503,-0.0554162194617364,0.0554162194617364
