coicop,product_label,mean_abs_diff,max_abs_diff,signed_q5_q1_gap_eurostat,signed_q5_q1_gap_insee
041,Actual rental payments made for housing,3.16996814583446,9.08971891613169,-17.2817572285374,-6.33972571453245
043,"Maintenance, repair and security of the dwelling",0.432925933357869,1.32510716826743,1.5216390832688,1.01803568650375
045,"Electricity, gas and other fuels",0.397340048352363,0.749656335711986,-2.22013625225031,-2.00143891389444
09,"Recreation, sport and culture",0.356066543393105,0.536543431550389,2.92419705405132,3.56229933943451
044,Water supply and miscellaneous services relating to the dwelling,0.315664090458899,0.543691525810993,-1.62092940324478,-1.06336331379965
083,Information and communication services,0.261788645347043,0.353897694262428,-2.29170084601333,-2.06456565990195
081,Information and communication equipment,0.257886007394266,0.563934035530344,0.166955764896852,-0.771398533265428
111,Food and beverage serving services,0.220930244569198,0.293440319926175,3.39707415756626,3.73063568276687
054,"Glassware, tableware and household utensils",0.185107774805186,0.258448233245641,0.0674518027603324,0.262252915661259
031,Clothing,0.175887141799655,0.316842839235777,0.183888135097672,-0.0790004992881066
051,"Furniture, furnishings, and loose carpets",0.122331278459339,0.270836397749766,1.45492179201318,1.25728514838105
056,Goods and services for routine household maintenance,0.115924763036752,0.242658304875361,0.861003487189719,1.0262774611825
112,Accommodation services,0.109357151968881,0.306745376626787,2.08030244972891,1.74390987304991
032,Footwear,0.0652830220843739,0.134424898350162,0.12232264479076,0.0385414500312632
053,Household appliances,0.0609463496699227,0.105923212638197,0.339265441592304,0.208306649401429
055,Tools and equipment for house and garden,0.0566915234603876,0.0964614310619555,0.324511187788958,0.406087284079067
052,Household textiles,0.0545422566845361,0.11810133833381,0.183437739506497,0.312534414128776
082,"Software, excluding games",2.24415654489929e-08,3.34074374919758e-08,1.25530650298385e-08,-3.76523673720889e-08
01,Food and non-alcoholic beverages,,,-0.407321621408148,
011,Food,,,,-3.10937076542751
012,Non-alcoholic beverages,,,,-0.361319597988316
013,Services for processing primary goods for food and non-alcoholic beverages,,,,2.83476680169019e-08
02,"Alcoholic beverages, tobacco and narcotics",,,,-1.56387855587687
021,Alcoholic beverages,,,0.25809101701348,
022,Alcohol production services,,,-1.11220275657268e-07,
023,Tobacco,,,3.06043725427463e-07,
06,Health,,,0.538408804795418,
061,Medicines and health products,,,,0.234457902102563
062,Outpatient care services,,,,0.301837505259724
063,Inpatient care services,,,,0.00748347147965198
