category,mean_offset,mean_abs_offset,max_abs_offset
Décile1,-0.0279790946806816,0.0849037046745398,0.365220979130878
Décile10,0.0386018044799341,0.0592560199523414,0.168962546766126
Décile2,-0.00958142933661387,0.0395690679038173,0.171964616578178
Décile3,-0.00313805688677054,0.0326081178968172,0.0765595305773901
Décile4,0.0557087484267899,0.0978575011729396,0.370693799670103
Décile5,-0.0237221369886078,0.0312861184397998,0.0813397428408988
Décile6,0.00268971594820465,0.0447255965129917,0.242600661067047
Décile7,-0.0285984790931109,0.0395806768421918,0.109460086217369
Décile8,0.0390956132582487,0.0450647339901629,0.158753655687506
Décile9,-0.116473345839694,0.118359645779726,0.35600405022339
