hbs_category,category,country,year,mean_expenditure_pps_hh,household_count,household_share,group_consumption_share,group_consumption_share_pm,source
age,From 45 to 59 years,BE,1999,31439,928,0.247797062750334,0.280021514193378,280.021514193378,Eurostat hbs_exp_t135 PPS_HH x hbs_car_t314 NR
age,60 years or over,BE,1999,20603,973,0.25981308411215,0.192405730452196,192.405730452196,Eurostat hbs_exp_t135 PPS_HH x hbs_car_t314 NR
age,Less than 30 years,BE,2005,27820,392,0.110422535211268,0.102002471381347,102.002471381347,Eurostat hbs_exp_t135 PPS_HH x hbs_car_t314 NR
age,From 30 to 44 years,BE,2005,33971,1137,0.320281690140845,0.361273658941891,361.273658941891,Eurostat hbs_exp_t135 PPS_HH x hbs_car_t314 NR
age,From 45 to 59 years,BE,2005,32513,1047,0.294929577464789,0.318398657052513,318.398657052513,Eurostat hbs_exp_t135 PPS_HH x hbs_car_t314 NR
age,60 years or over,BE,2005,23965,974,0.274366197183099,0.218325212624248,218.325212624248,Eurostat hbs_exp_t135 PPS_HH x hbs_car_t314 NR
age,Less than 30 years,BE,2010,26365,669,0.0932144350006967,0.0784005451976647,78.4005451976647,Eurostat hbs_exp_t135 PPS_HH x hbs_car_t314 NR
age,From 30 to 44 years,BE,2010,34300,2159,0.300822070502996,0.329163712360671,329.163712360671,Eurostat hbs_exp_t135 PPS_HH x hbs_car_t314 NR
age,From 45 to 59 years,BE,2010,34260,2276,0.317124146579351,0.346597005088803,346.597005088803,Eurostat hbs_exp_t135 PPS_HH x hbs_car_t314 NR
age,60 years or over,BE,2010,26680,2073,0.288839347916957,0.245838737352861,245.838737352861,Eurostat hbs_exp_t135 PPS_HH x hbs_car_t314 NR
age,Less than 30 years,BE,2015,28315,453,0.073838630806846,0.0594475236509743,59.4475236509743,Eurostat hbs_exp_t135 PPS_HH x hbs_car_t314 NR
age,From 30 to 44 years,BE,2015,36039,1958,0.319152404237979,0.327042669909194,327.042669909194,Eurostat hbs_exp_t135 PPS_HH x hbs_car_t314 NR
age,From 45 to 59 years,BE,2015,38961,2081,0.33920130399348,0.375769196228447,375.769196228447,Eurostat hbs_exp_t135 PPS_HH x hbs_car_t314 NR
