centile_id,electricity_share_mean,electricity_share_p25,electricity_share_p50,electricity_share_p75,transfer_mean
1,0.0459181058541175,0.0251460251568682,0.0414529749989446,0.0606422533870835,372.718784288555
2,0.0463497638542295,0.0258352211976653,0.0399196007044353,0.0566986550605652,350.512814695048
3,0.0451216820384285,0.0295128407550919,0.0438337096002367,0.0596841715884393,434.542505930045
4,0.0474144906107441,0.0264524546248688,0.0406618265462732,0.0572995144169455,390.300956649961
5,0.0421906547915,0.0214484681662025,0.0334780145014588,0.0531484737960938,253.318076478903
6,0.0419580493766095,0.024193182508361,0.0363472590377623,0.0535741788334911,304.983425965501
7,0.042844907513438,0.0261581209186328,0.0393417826282668,0.0566780777781447,410.880674143982
8,0.0460762134415295,0.0241111864322862,0.0375420791234688,0.0576043651144833,287.246836366559
9,0.0413609423564,0.0220965871719955,0.0367568432653585,0.0542166079937232,314.854930135425
10,0.0399501435352512,0.0247502078928657,0.0343545923751662,0.0506610516574883,397.79872621079
11,0.037276303847208,0.0233647039992808,0.03341708735718,0.0461139109043289,338.427778124922
12,0.0345297330895247,0.0193667311871074,0.0296939135225024,0.0431274876524211,245.458296069243
13,0.04214689608415,0.0256525688486606,0.0378605641299374,0.0549457446330124,327.828964322157
14,0.037497141532528,0.0207741254749317,0.0341065306291895,0.0511301170558182,351.060504942814
15,0.038706348219129,0.0225672976917672,0.0326810237110189,0.0472436133638511,632.433187010184
16,0.0400049025771702,0.0219137609472056,0.0335593032437421,0.0522598309263372,447.546349381231
17,0.0395972209679227,0.0227576531970403,0.0326236880777435,0.0473977473103629,330.627460765174
18,0.0409174091417568,0.0238934851643081,0.0337484813856162,0.0515295382675983,309.794092442326
19,0.0407376972270431,0.0233368039930029,0.0359978502264741,0.0490327422166851,390.11459343513
20,0.0374119067466692,0.0206605160373712,0.0319308817895862,0.0456721351514687,286.620517506527
21,0.0391725346339224,0.0243310503009012,0.0328290008046816,0.0482774911199991,334.980493917793
22,0.0418631666052842,0.026647459377753,0.0364657167891988,0.0523745184349312,379.462526709276
23,0.0370224505319538,0.023651408492084,0.0313284083081826,0.0475274832592632,369.030393661414
24,0.0364704926990267,0.022122828118026,0.030257922587671,0.0469584309469532,374.078197122077
25,0.0362655044772709,0.0190147046694506,0.0302755052286046,0.0472922995473778,299.301249007124
26,0.0359986349105639,0.0217629232616264,0.033080278729459,0.0473336991092089,312.835402892973
27,0.0362395324256888,0.0218542570795943,0.0343938473771447,0.0430887750965295,335.196222479427
28,0.0421478688874604,0.0252663494349329,0.0369313638894278,0.0525205807817493,374.127381137321
29,0.0377394056660545,0.0239822269391146,0.0325999168446038,0.0455069644676223,326.703852510416
30,0.0423163693853238,0.0278802558080165,0.0373726656819349,0.0539908340994483,308.188647311763
31,0.038357796928739,0.0211484170146823,0.033611059713604,0.0485470981292268,301.872640234289
32,0.0378071781219475,0.0221746489786635,0.0331554715171139,0.0453220614305914,334.208384794248
33,0.0308979027010261,0.0183097501708352,0.0282860548028526,0.0430632628427391,279.685981607835
34,0.0379344899468113,0.0236628511556863,0.0349489913501504,0.0476967509389722,346.10145481797
35,0.0392546866495708,0.023487849410213,0.0347283982567126,0.0518023215525046,441.989215105105
36,0.0388606954647088,0.021481771149545,0.0331012006798474,0.0458288683078669,300.86766018263
37,0.03452717424261,0.0191484893397179,0.0289760574001713,0.0399503611393859,291.685238541481
38,0.0338912762408668,0.0203669304976219,0.0291390501372098,0.0433474071084723,259.104450725855
39,0.034486193999209,0.0198610104504015,0.0294432168133618,0.0410887933072176,366.167897249783
40,0.0348623222001504,0.0208691790058755,0.0296194212287435,0.0434226049509279,376.079112246386
41,0.0354231907307461,0.0196409328300786,0.0312918588233935,0.0480984185944919,358.237334199651
42,0.0345572350466084,0.0206571799954601,0.0282217657000276,0.0420308565346189,335.972810008606
43,0.0323424226212967,0.0201071185681344,0.0283840069079904,0.0428901593608233,320.188446705168
44,0.0360972957888249,0.0218180716265053,0.0304361243668328,0.0424725998219438,314.23261304117
45,0.0368545924921211,0.0208441353839778,0.0309388913457302,0.0451670761577567,314.848016256487
46,0.0345135764766895,0.0209056027641392,0.0307158687459366,0.0477201588469045,296.978321195271
47,0.036572627659723,0.0206314362086757,0.0283543689775405,0.0435482208335728,409.402222364565
48,0.0345538584571208,0.021737480515741,0.0302296533963803,0.0416607473433256,291.527405024387
49,0.0328075788279622,0.0190354716757278,0.0267840020827901,0.0402104515065488,377.766314191654
50,0.03223468114232,0.0198364214644924,0.02696361986582,0.0390028268728305,341.697105772496
51,0.0369507677071515,0.0202665979757036,0.0315715255898048,0.0439636053011455,351.96080341764
52,0.0337872857188716,0.020357848967302,0.0289291402946702,0.041923710051991,461.38523130308
53,0.0343184456637692,0.0197542108950271,0.0292153483905387,0.0445764820699228,404.468961894095
54,0.0330107873678919,0.018609663888075,0.028472978707945,0.0409295065453212,367.898121524936
55,0.0327094790430029,0.0218692506774978,0.0284232731451997,0.0383529266261626,338.863808483931
56,0.0304224696358209,0.0175265703012934,0.0265118199734605,0.0393745392134425,329.275396554987
57,0.0342356398053213,0.0202724946103026,0.0306351444292355,0.0455109837130324,404.478165079438
58,0.0360530818444754,0.0200720629463607,0.0291816534725123,0.0437873717466663,386.130530495437
59,0.0348384728030367,0.0222836953439503,0.0307916837560066,0.0429007316173089,383.349233360949
60,0.0314751161925729,0.0195201166128449,0.0271279118770845,0.0410354566002187,366.300693003539
61,0.0361420339150629,0.0205191037474137,0.0298235064269573,0.0428720417472788,361.800558844374
62,0.0316074230596498,0.017985554550032,0.0258241084520923,0.0392175910683115,311.248320931101
63,0.0344972488673563,0.0203973732206418,0.0286270603261585,0.0461622042558311,370.590369849667
64,0.0367519256695124,0.0219478567036809,0.0311358359299355,0.0472548310117148,392.573672274681
65,0.0351137161063014,0.0188069505395206,0.0300327665289833,0.0434216217523672,337.991178187448
66,0.0326971940776875,0.0195371128781492,0.0282663522773113,0.039358200737721,354.032913773811
67,0.0368865562961911,0.0217797946815734,0.0315553379805876,0.0493033439109615,408.938793314693
68,0.033706377137103,0.0206416800844985,0.0287453107803036,0.040418108055184,396.109144562414
69,0.032143948839511,0.0202370950987971,0.0260654272864952,0.0380368789626,387.888814417124
70,0.0298179542028979,0.0169415279834559,0.0253010318743996,0.0375125067894687,332.163030302982
71,0.0304484018420212,0.0184063350240706,0.0273952928871674,0.0405923258613285,357.408449020314
72,0.0315615551562124,0.017808268693072,0.026109904098068,0.0395330013187778,347.081987018376
73,0.030414367812131,0.0156613934363001,0.0242504510582463,0.0351934939122573,355.995041870064
74,0.0285750523669758,0.0168565816786212,0.0257349724719476,0.0384339308234205,379.351412068579
75,0.0267719348001389,0.0169804184993094,0.0220624772122701,0.0330124730884787,317.050356236171
76,0.0299724295904669,0.0176869433415961,0.0242484940521784,0.0375408103669824,379.149330881409
77,0.0272321187218908,0.0178304412984073,0.0251482802943307,0.0336484553891385,311.399790594126
78,0.0297780379910105,0.0182054160281145,0.0270507061558799,0.0393887310078957,333.81255378158
79,0.0287262843510066,0.0174978998836939,0.0248780032426866,0.0364122884202874,324.123040485715
