year,category,consumption
2015,From 30 to 44 years,2835.000005
2020,From 30 to 44 years,2832.000004
2015,From 45 to 59 years,2861.000006
2020,From 45 to 59 years,2820.000005
2015,60 years or over,2763.000009
2020,60 years or over,2740.000008
2015,Less than 30 years,2826.000007
2020,Less than 30 years,2816.000007
