Dimension,Group,year,share_total
Income,First quintile,2015,7.78303586296449
Income,First quintile,2020,8.13321275485387
Income,Second quintile,2015,12.6993455257204
Income,Second quintile,2020,12.756854628535
Income,Third quintile,2015,17.2494409329646
Income,Third quintile,2020,17.003419914558
Income,Fourth quintile,2015,23.2900938498284
Income,Fourth quintile,2020,22.8227509977237
Income,Fifth quintile,2015,38.9780838285222
Income,Fifth quintile,2020,39.2837617043294
