year,category,consumption
2015,35--64 years,39926468968.0692
2015,65 years or over,20338212990.1954
2015,18--34 years,4170033580.58331
2020,65 years or over,19829053258.9039
2020,35--64 years,36382144952.8276
2020,18--34 years,4490395534.40432
