year,category,consumption
2015,Cities,2750.000006
2020,Cities,2754.000005
2015,Towns and suburbs,2847.000006
2020,Towns and suburbs,2808.000006
2015,Rural areas,2840.000006
2020,Rural areas,2823.000007
