IDENT;Regroupement;Ensemble;Décile1;Décile2;Décile3;Décile4;Décile5;Décile6;Décile7;Décile8;Décile9;Décile10
0211;0211 - Spiritueux;100;55;67;104;104;97;112;123;107;110;116
02111;02111 - Spiritueux et liqueurs;100;55;67;104;104;97;112;123;107;110;116
0212;0212 - Vins, apéritifs à base de vin, champagne;225;73;94;138;162;180;265;235;292;297;513
0212A;0212A - Vins, apéritifs à base de vin, champagne;225;73;94;138;162;180;265;235;292;297;513
0213;0213 - Bières;62;57;43;51;67;79;62;66;59;64;74
02131;02131 - Bière et boissons à base de bière;62;57;43;51;67;79;62;66;59;64;74
022;022 - Tabac et produits connexes;397;367;416;414;421;448;443;391;348;350;371
0220;022Z - Tabac et produits connexes;397;367;416;414;421;448;443;391;348;350;371
022ZZ;022ZZ - Tabac et produits connexes;397;367;416;414;421;448;443;391;348;350;371
024 ;024 - Autres dépenses de boissons alcoolisées, tabac et stupéfiants;4;0;0;2;6;5;3;2;6;6;11
0241;0241 - Autres dépenses de boissons alcoolisées, tabac et stupéfiants;4;0;0;2;6;5;3;2;6;6;11
02411;02411 - Dépenses de boissons alcoolisées, tabac et stupéfiants : cadeau offert à un autre ménage;4;0;0;2;6;5;3;2;6;6;11
03;03 - ARTICLES D’HABILLEMENT ET CHAUSSURES;1 374;902;993;1 018;1 043;1 087;1 279;1 422;1 625;2 020;2 344
031 ;031 - Tissus et vêtements yc services;956;646;703;711;735;767;895;976;1 138;1 393;1 596
0311;0311 - Tissus d habillement;4;1;2;1;2;6;5;4;15;3;5
03111;03111 - Tissus pour vêtements;4;1;2;1;2;6;5;4;15;3;5
0312;0312 - Vêtements homme, femme, enfant;894;618;668;680;688;720;845;908;1 054;1 313;1 441
0312Z;0312Z - Vêtements homme, femme, enfant;894;618;668;680;688;720;845;908;1 054;1 313;1 441
0313;0313 - Accessoires du vêtement et mercerie;42;16;24;26;41;35;29;49;52;60;84
03131;03131 - Accessoires du vêtement et mercerie;42;16;24;26;41;35;29;49;52;60;84
0314;0314 - Nettoyage, réparation et location de vêtements;16;11;9;3;4;5;15;15;17;17;67
03141;03141 - Nettoyage, réparation et location de vêtements;16;11;9;3;4;5;15;15;17;17;67
032 ;032 - Chaussures, yc location et réparation;288;192;223;222;225;233;273;287;340;414;473
0321;032Z - Chaussures, yc location et réparation;288;192;223;222;225;233;273;287;340;414;473
032ZZ;032ZZ - Chaussures, yc location et réparation;288;192;223;222;225;233;273;287;340;414;473
033 ;033 - Autres dépenses d habillement;129;64;67;85;83;88;112;159;146;213;275
0322;0331 - Autres dépenses d habillement;129;64;67;85;83;88;112;159;146;213;275
0331Z;0331Z - Autres dépenses d habillement;129;64;67;85;83;88;112;159;146;213;275
04;04 - LOGEMENT, EAU, GAZ, ELECTRICITE ET AUTRES COMBUSTIBLES;4 454;3 640;3 974;4 194;4 375;4 369;4 642;4 490;4 557;4 503;5 788
041 ;041 - Loyers d habitation (nets des aides au logement) pour la résidence principale;2 022;1 870;1 936;2 128;2 210;2 227;2 161;1 874;1 949;1 792;2 074
0411;0411 - Loyers d habitation (nets des aides au logement) pour la résidence principale;1 975;1 840;1 917;2 114;2 168;2 183;2 118;1 795;1 902;1 724;1 987
04111;04111 - Loyers nets des aides au logement (hors charges ou avec charges non isolables) des locataires résidence principale;1 975;1 840;1 917;2 114;2 168;2 183;2 118;1 795;1 902;1 724;1 987
0412;0412 - Loyers (hors charges ou avec charges non isolables) des locataires autres résidences;47;30;18;14;42;44;43;79;47;68;87
04121;04121 - Loyers (hors charges ou avec charges non isolables) des locataires autres résidences;47;30;18;14;42;44;43;79;47;68;87
043 ;043 - Travaux courants d’entretien et de réparation du logement (hors gros travaux);176;65;53;78;81;150;314;296;246;166;306
0431;0431 - Produits destinés aux travaux courants d’entretien et de réparation du logement (hors gros travaux);176;65;53;78;81;150;314;296;246;166;306
0431Z;0431Z - Produits destinés aux travaux courants d’entretien et de réparation du logement (hors gros travaux);176;65;53;78;81;150;314;296;246;166;306
044 ;044 - Autres services relatifs au logement (ordures, assainissement, eau, charges);834;728;834;775;757;689;771;793;844;932;1 216
0441;0443 - Factures d’eau;256;191;207;230;237;244;269;266;280;288;344
04431;04431 - Factures d’eau résidence principale, autre logement, dépendance, terrain;256;191;207;230;237;244;269;266;280;288;344
0444;0444 - Charges collectives;578;537;627;545;519;445;502;527;565;643;872
04441;04441 - Charges collectives relatives au logement (payées isolément du loyer ou crédit);578;537;627;545;519;445;502;527;565;643;872
045 ;045 - Electricité, gaz et autres combustibles;1 353;967;1 123;1 193;1 279;1 281;1 348;1 449;1 427;1 530;1 925
0450;0450 - Electricité+gaz (non dissociable);178;111;127;146;146;135;143;171;168;240;394
0451;0451 - Electricité;746;592;635;640;683;714;759;814;808;855;957
0452;0452 - Gaz et combustibles liquéfiés (gaz de ville, butane...);431;270;336;397;383;380;393;441;427;506;780
0453;0453 - Combustibles liquides;121;73;110;102;157;129;132;132;133;109;129
0454;045A - Combustibles solides;55;32;42;54;57;57;64;62;59;60;59
0455;thermiques;0;0;0;0;0;0;0;0;0;0;0
046 ;046 - Autres dépenses d’habitation;70;11;29;20;48;22;48;77;91;83;267
0461;0461 - Autres dépenses d’habitation;70;11;29;20;48;22;48;77;91;83;267
04611;04611 - Autres dépenses d’habitation : cadeau offert (à destination d’un autre ménage);70;11;29;20;48;22;48;77;91;83;267
05;05 - MEUBLES, ARTICLES DE MENAGE ET ENTRETIEN COURANT DE LA MAISON;1 558;593;773;1 013;997;1 102;1 331;1 599;2 015;2 254;3 889
051 ;051 - Meubles, articles d’ameublement et décoration, tapis et autres revêtements de sol, réparation de ces articles;424;165;207;276;236;292;371;445;606;704;935
0511;0511 - Meubles, articles d’ameublement et de décoration;410;164;204;268;221;282;368;417;573;686;912
0511Z;0511Z - Meubles, articles d’ameublement et de décoration;410;164;204;268;221;282;368;417;573;686;912
051AZ;051A - Tapis et autres revêtements, pose et réparation;14;2;2;8;15;10;3;27;33;18;23
051AZ;051AZ - Tapis et autres revêtements, pose et réparation;14;2;2;8;15;10;3;27;33;18;23
052;052 - Articles de ménage en textile (literie, linge de maison, autre textile d ameublement);85;23;44;52;51;75;76;92;104;121;215
0520;0521 - Articles de literie et autres articles de ménage en textile;85;23;44;52;51;75;76;92;104;121;215
0521Z;0521Z - Articles de literie et autres articles de ménage en textile;85;23;44;52;51;75;76;92;104;121;215
053 ;053 - Gros appareils électroménagers yc de chauffage et réparation de ces appareils;196;93;113;187;173;166;236;197;231;258;307
0531;0531 - Gros appareils ménagers électriques;171;81;102;175;158;144;214;157;202;217;260
0531Z;0531Z - Gros appareils ménagers électriques;171;81;102;175;158;144;214;157;202;217;260
0532;0532 - Petit électroménager et installation de ces appareils;25;12;12;12;14;23;23;40;29;41;47
05321;05321 - Petit électroménager;25;12;12;12;14;23;23;40;29;41;47
054;054 - Verrerie, vaisselle, ustensiles de cuisine et article de ménage ou toilette;80;35;38;54;70;65;66;93;137;107;129
0540;0541 - Verrerie, vaisselle, ustensiles de cuisine et article de ménage ou toilette yc réparation;80;35;38;54;70;65;66;93;137;107;129
0541Z;0541Z - Verrerie, vaisselle, ustensiles de cuisine et article de ménage ou toilette yc réparation;80;35;38;54;70;65;66;93;137;107;129
055 ;055 - Outillage pour la maison et le jardin, outillage SAI;208;47;105;129;138;143;165;249;354;238;509
0551;0551 - Gros outillage de bricolage, de jardinage et leur réparation;74;16;41;48;49;65;56;113;89;77;191
0551Z;0551Z - Gros outillage de bricolage, de jardinage et leur réparation;74;16;41;48;49;65;56;113;89;77;191
0552;0552 - Petit outillage et accessoires de bricolage et jardinage, matériaux extérieurs;134;32;65;81;89;79;109;136;265;161;318
0552Z;0552Z - Petit outillage et accessoires de bricolage et jardinage, matériaux extérieurs;134;32;65;81;89;79;109;136;265;161;318
056 ;056 - Biens et services pour l’entretien courant du logement (produits et articles d entretien, services domestiques ou d entretien pour le logement);517;215;247;287;308;336;355;482;523;750;1 661
0561;0561 - Articles de ménage non durables;236;152;205;196;225;235;222;249;274;280;318
0561Z;0561Z - Articles de ménage non durables;236;152;205;196;225;235;222;249;274;280;318
0562;0562 - Services domestiques et autres services pour le logement;281;63;42;91;83;100;133;233;249;470;1 344
0562Z;0562Z - Services domestiques et autres services pour le logement;281;63;42;91;83;100;133;233;249;470;1 344
057 ;057 - Autres dépenses en équipement;48;14;18;28;22;25;60;42;59;76;133
0571;0571 - Autres dépenses en équipement;48;14;18;28;22;25;60;42;59;76;133
0571Z;0571Z - Autres dépenses en équipement;48;14;18;28;22;25;60;42;59;76;133
06;06 - SANTE;505;254;323;393;413;470;492;578;630;725;768
061 ;061 - Produits et appareils thérapeutiques, matériel médical;254;139;180;187;209;246;234;255;283;400;410
0611;0611 - Produits pharmaceutiques, appareils et matériels thérapeutiques;254;139;180;187;209;246;234;255;283;400;410
0611Z;0611Z - Produits pharmaceutiques, appareils et matériels thérapeutiques;254;139;180;187;209;246;234;255;283;400;410
062 ;062 - Services de consultation externe;217;98;124;179;185;194;231;273;305;279;301
0621;0621 - Services médicaux, dépenses médicales SAI;101;42;53;77;99;100;124;107;184;101;122
06211;06211 - Consultations des médecins généralistes ou spécialistes hors hospitalisation;101;42;53;77;99;100;124;107;184;101;122
0622;0622 - Soins dentaires;61;27;39;54;46;49;67;84;61;99;86
06221;06221 - Dentiste, orthodontie;61;27;39;54;46;49;67;84;61;99;86
0623;0623 - Services paramédicaux (labo, radio, soins des auxiliaires médicaux et paramédicaux…);55;29;32;47;41;45;40;82;60;79;92
0623Z;0623Z - Services paramédicaux (labo, radio, soins des auxiliaires médicaux et paramédicaux…);55;29;32;47;41;45;40;82;60;79;92
063 ;063 - Services et soins hospitaliers;25;10;16;24;17;28;22;35;37;25;37
0631;0631 - Services et soins hospitaliers;25;10;16;24;17;28;22;35;37;25;37
06311;06311 - Services et soins hospitaliers;25;10;16;24;17;28;22;35;37;25;37
064 ;064 - Autres dépenses de santé;9;7;3;4;2;2;4;16;5;21;21
0641;0641 - Autres dépenses de santé;9;7;3;4;2;2;4;16;5;21;21
0641Z;0641Z - Autres dépenses de santé;9;7;3;4;2;2;4;16;5;21;21
07;07 - TRANSPORTS;4 482;2 189;2 502;2 725;3 482;3 796;4 518;5 119;5 611;6 034;8 813
071 ;071 - Achats de véhicules;1 917;660;812;1 021;1 453;1 512;1 975;2 321;2 650;2 500;4 251
0711;0711 - Achats d automobiles;1 808;617;771;960;1 363;1 441;1 815;2 202;2 527;2 317;4 055
0711Z;0711Z - Achats d automobiles;1 808;617;771;960;1 363;1 441;1 815;2 202;2 527;2 317;4 055
0712;0712 - Achats de motocycles;74;30;27;46;59;46;115;83;77;117;134
07121;07121 - Achats de motocycles neufs et occasion;74;30;27;46;59;46;115;83;77;117;134
0713;0713 - Achats de cycles;35;13;14;15;31;25;46;36;45;66;62
07131;07131 - Achats de cycles neufs et occasion;35;13;14;15;31;25;46;36;45;66;62
072 ;072 - Frais d utilisation de véhicules personnels (entretien, essence, garagiste, parking, péage);1 671;899;1 155;1 270;1 491;1 717;1 785;1 895;2 012;2 209;2 274
0721;0721 - Pièces détachées et accessoires pour les véhicules personnels (hors ceux installés par un professionnel);136;56;97;95;128;136;161;114;190;197;185
0722;0722 - Carburants et lubrifiants, antigel…;1 108;622;754;868;1 006;1 174;1 196;1 333;1 288;1 462;1 375
0723;0723 - Services d’entretien et réparation des véhicules personnels;293;151;214;235;266;279;329;307;360;381;412
0724;0724 - Autres services liés à l’utilisation de véhicules personnels;134;70;90;71;92;127;99;140;175;170;302
073 ;073 - Services de transport;529;464;356;257;327;347;426;559;512;760;1 278
0736;0736 - Autres services de transport;15;7;5;6;12;13;17;13;13;20;46
