IDENT;Regroupement;Ensemble;Décile1;Décile2;Décile3;Décile4;Décile5;Décile6;Décile7;Décile8;Décile9;Décile10
12411;12411 - Services de protection sociale (assistante maternelle, crèche, maison de retraite, foyer);309;41;94;169;130;234;307;376;638;506;591
125 ;125 - Assurances;2 325;1 221;1 665;1 923;2 193;2 265;2 487;2 567;2 711;2 849;3 355
1251;1251 - Assurances vie, décès;39;21;30;35;43;40;37;44;47;43;52
12511;12511 - Assurances vie, décès;39;21;30;35;43;40;37;44;47;43;52
1252;1252 - Assurances liées au logement;371;258;305;320;346;347;371;391;398;425;546
12521;12521 - Assurances liées au logement;371;258;305;320;346;347;371;391;398;425;546
1253;1253 - Assurances liées à la santé;1 093;493;784;942;1 096;1 101;1 193;1 208;1 271;1 333;1 499
12531;12531 - Assurances liées à la santé;1 093;493;784;942;1 096;1 101;1 193;1 208;1 271;1 333;1 499
1254;1254 - Assurances liées aux transports;675;374;457;538;598;676;727;779;837;828;937
12541;12541 - Assurances liées aux transports (yc assurance voyage);675;374;457;538;598;676;727;779;837;828;937
1255;1255 - Autres assurances;147;74;89;87;110;101;159;145;158;220;322
12551;12551 - Autres assurances (pack assurance, scolaire, dépendance, prévoyance, animaux, obsèques);147;74;89;87;110;101;159;145;158;220;322
126;126 - Services financiers;148;108;124;127;139;138;152;153;163;181;196
1262;1261 - Services financiers;148;108;124;127;139;138;152;153;163;181;196
12611;12611 - Services financiers;148;108;124;127;139;138;152;153;163;181;196
127;127 - Autres services;589;212;201;392;242;346;557;633;844;867;1 591
1270;1271 - Autres services;589;212;201;392;242;346;557;633;844;867;1 591
1271Z;1271Z - Autres services;589;212;201;392;242;346;557;633;844;867;1 591
128 ;128 - Autres dépenses de cérémonie;26;7;10;8;13;24;25;48;45;42;42
1281;1281 - Autres dépenses occasionnées par une cérémonie;26;7;10;8;13;24;25;48;45;42;42
12811;12811 - Autres dépenses occasionnées par une cérémonie;26;7;10;8;13;24;25;48;45;42;42
129 ;129 - Dépenses SAI des personnes hors domicile;21;11;11;16;15;14;9;24;50;23;40
1291;1291 - Dépenses SAI des personnes vivant hors du domicile au moins un jour par semaine;21;11;11;16;15;14;9;24;50;23;40
12911;12911 - Dépenses SAI des personnes vivant hors du domicile au moins un jour par semaine;21;11;11;16;15;14;9;24;50;23;40
