scenario,policy_label,aggregate_consumption_change_pct,household_consumption_change_pct,total_cost_billion,public_spending_overcompensation_pct,public_spending_top_10_pct,households_overcompensated_pct,mean_overcompensation_consumption_pct,households_undercompensated_pct,mean_undercompensation_consumption_pct
A1,Prix regule,2,6,20,0,12.8335791873408,0,0,0,0
B1,Transfert forfaitaire,0,0,20,6.2290465334585,10,50,0.152557707919437,50,0.0747530367644669
C1,Transfert en fonction de la consommation passee,0,0,20,0,12.8335791873408,0,0,0,0
